model,target,am1_dft_mae,ml_mae,ml_std_error
Ridge,e_barrier,9.66938281247915,10.6294,7.082952282256423
Ridge,interaction_energies_dft,6.731467031223531,7.1776,4.318609834390393
Ridge,distortion_energy_dp_df,4.266529374996776,4.3344000000000005,3.1456108006119594
KRR,e_barrier,9.66938281247915,3.4306000000000005,0.9379785580739635
KRR,interaction_energies_dft,6.731467031223531,2.1315999999999997,0.6016774612125643
KRR,distortion_energy_dp_df,4.266529374996776,2.2350000000000003,0.7689087078181934
SVR,e_barrier,9.66938281247915,2.6016000000000004,0.6380941878772937
SVR,interaction_energies_dft,6.731467031223531,1.4166,0.18765798807859824
SVR,distortion_energy_dp_df,4.266529374996776,1.6177999999999997,0.3876195902369698
