0.1_train,0.2_train,0.3_train,0.4_train,0.5_train,0.6_train,0.7_train,0.8_train,0.9_train,model,model_target,target,0.1_val,0.2_val,0.3_val,0.4_val,0.5_val,0.6_val,0.7_val,0.8_val,0.9_val,0.1_test,0.2_test,0.3_test,0.4_test,0.5_test,0.6_test,0.7_test,0.8_test,0.9_test
4.31,4.03,3.81,3.63,3.51,3.43,3.34,3.31,3.27,SVR,svr_e_barrier_dft,e_barrier_dft,4.39 ± 0.21,3.92 ± 0.19,3.76 ± 0.18,3.64 ± 0.18,3.56 ± 0.17,3.42 ± 0.16,3.38 ± 0.16,3.32 ± 0.16,3.26 ± 0.16,4.26 ± 0.19,3.79 ± 0.17,3.58 ± 0.16,3.52 ± 0.16,3.41 ± 0.15,3.27 ± 0.15,3.19 ± 0.15,3.16 ± 0.14,3.14 ± 0.14
3.43,3.10,2.97,2.85,2.76,2.65,2.61,2.57,2.51,SVR,svr_interaction_energies_dft,interaction_energies_dft,3.39 ± 0.15,3.06 ± 0.14,2.91 ± 0.14,2.79 ± 0.13,2.70 ± 0.13,2.60 ± 0.12,2.54 ± 0.12,2.48 ± 0.12,2.45 ± 0.12,3.26 ± 0.15,3.02 ± 0.14,2.86 ± 0.14,2.72 ± 0.13,2.64 ± 0.13,2.61 ± 0.13,2.60 ± 0.12,2.52 ± 0.12,2.48 ± 0.12
3.52,3.27,3.10,2.92,2.85,2.75,2.71,2.68,2.67,SVR,svr_distortion_energy_1_dft,distortion_energy_1_dft,3.53 ± 0.17,3.19 ± 0.16,3.05 ± 0.15,2.97 ± 0.15,2.92 ± 0.14,2.82 ± 0.14,2.78 ± 0.14,2.72 ± 0.13,2.67 ± 0.13,3.40 ± 0.16,3.16 ± 0.15,2.95 ± 0.14,2.83 ± 0.14,2.76 ± 0.13,2.70 ± 0.13,2.67 ± 0.13,2.64 ± 0.13,2.59 ± 0.13
3.27,3.09,2.94,2.83,2.78,2.74,2.67,2.62,2.58,SVR,svr_distortion_energy_2_dft,distortion_energy_2_dft,3.31 ± 0.16,3.05 ± 0.15,2.90 ± 0.15,2.82 ± 0.15,2.76 ± 0.14,2.68 ± 0.14,2.62 ± 0.14,2.58 ± 0.14,2.53 ± 0.13,3.26 ± 0.15,2.88 ± 0.14,2.70 ± 0.14,2.65 ± 0.13,2.59 ± 0.13,2.56 ± 0.12,2.50 ± 0.12,2.46 ± 0.12,2.40 ± 0.12
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_q_barrier_dft,q_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_q_barrier_dft,q_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_e_barrier_dft,e_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_e_barrier_dft,e_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_interaction_energies_dft,interaction_energies_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_interaction_energies_dft,interaction_energies_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_distortion_energy_1_dft,distortion_energy_1_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_distortion_energy_1_dft,distortion_energy_1_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_distortion_energy_2_dft,distortion_energy_2_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_distortion_energy_2_dft,distortion_energy_2_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
