0.1_train,0.2_train,0.3_train,0.4_train,0.5_train,0.6_train,0.7_train,0.8_train,0.9_train,model,model_target,target,0.1_val,0.2_val,0.3_val,0.4_val,0.5_val,0.6_val,0.7_val,0.8_val,0.9_val,0.1_test,0.2_test,0.3_test,0.4_test,0.5_test,0.6_test,0.7_test,0.8_test,0.9_test
1.85,1.57,1.38,1.15,1.05,0.94,0.86,0.80,0.76,SVR,svr_q_barrier_dft,q_barrier_dft,1.81 ± 0.19,1.56 ± 0.15,1.29 ± 0.13,1.15 ± 0.12,1.02 ± 0.11,0.87 ± 0.09,0.80 ± 0.09,0.73 ± 0.08,0.66 ± 0.08,1.75 ± 0.18,1.40 ± 0.13,1.18 ± 0.11,1.00 ± 0.10,0.88 ± 0.09,0.79 ± 0.08,0.74 ± 0.07,0.67 ± 0.07,0.61 ± 0.06
1.22,1.06,0.89,0.82,0.77,0.73,0.67,0.61,0.58,SVR,svr_interaction_energies_dft,interaction_energies_dft,1.26 ± 0.12,1.01 ± 0.09,0.88 ± 0.08,0.79 ± 0.08,0.73 ± 0.07,0.63 ± 0.07,0.56 ± 0.06,0.55 ± 0.06,0.53 ± 0.07,1.32 ± 0.13,1.00 ± 0.10,0.84 ± 0.08,0.75 ± 0.08,0.68 ± 0.07,0.62 ± 0.07,0.58 ± 0.07,0.55 ± 0.06,0.52 ± 0.06
1.12,0.95,0.78,0.67,0.59,0.53,0.47,0.44,0.41,SVR,svr_distortion_energy_di_dft,distortion_energy_di_dft,1.07 ± 0.12,0.89 ± 0.12,0.73 ± 0.10,0.63 ± 0.09,0.59 ± 0.09,0.49 ± 0.08,0.46 ± 0.08,0.44 ± 0.08,0.43 ± 0.08,0.99 ± 0.12,0.76 ± 0.09,0.65 ± 0.10,0.54 ± 0.09,0.48 ± 0.09,0.40 ± 0.08,0.39 ± 0.08,0.35 ± 0.08,0.35 ± 0.08
1.17,0.98,0.81,0.70,0.65,0.60,0.53,0.50,0.48,SVR,svr_distortion_energy_dp_dft,distortion_energy_dp_dft,1.28 ± 0.14,0.94 ± 0.11,0.84 ± 0.10,0.78 ± 0.11,0.68 ± 0.09,0.57 ± 0.08,0.55 ± 0.08,0.50 ± 0.08,0.47 ± 0.08,1.14 ± 0.13,0.85 ± 0.10,0.71 ± 0.08,0.62 ± 0.08,0.53 ± 0.07,0.48 ± 0.06,0.44 ± 0.06,0.40 ± 0.06,0.36 ± 0.06
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_e_barrier_dft,e_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_e_barrier_dft,e_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_q_barrier_dft,q_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_q_barrier_dft,q_barrier_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_interaction_energies_dft,interaction_energies_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_interaction_energies_dft,interaction_energies_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_distortion_energy_di_dft,distortion_energy_di_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_distortion_energy_di_dft,distortion_energy_di_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,2 Layer NN,2_st_nn_distortion_energy_dp_dft,distortion_energy_dp_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---,4 Layer NN,4_st_nn_distortion_energy_dp_dft,distortion_energy_dp_dft,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2.34,1.89,1.68,1.50,1.40,1.35,1.31,1.26,1.24,Random Forest,rf_e_barrier_dft,e_barrier_dft,2.31 ± 0.24,1.89 ± 0.19,1.70 ± 0.17,1.52 ± 0.15,1.40 ± 0.14,1.30 ± 0.12,1.23 ± 0.12,1.19 ± 0.11,1.16 ± 0.11,2.23 ± 0.23,1.68 ± 0.17,1.52 ± 0.14,1.34 ± 0.13,1.27 ± 0.11,1.18 ± 0.11,1.15 ± 0.10,1.10 ± 0.10,1.09 ± 0.09
2.33,1.89,1.68,1.51,1.38,1.33,1.30,1.26,1.23,Random Forest,rf_q_barrier_dft,q_barrier_dft,2.23 ± 0.23,1.89 ± 0.20,1.68 ± 0.17,1.52 ± 0.16,1.40 ± 0.14,1.28 ± 0.12,1.22 ± 0.12,1.17 ± 0.11,1.12 ± 0.11,2.16 ± 0.21,1.70 ± 0.17,1.46 ± 0.14,1.32 ± 0.13,1.23 ± 0.12,1.17 ± 0.11,1.13 ± 0.10,1.09 ± 0.10,1.05 ± 0.09
1.49,1.25,1.07,0.98,0.95,0.92,0.89,0.86,0.85,Random Forest,rf_interaction_energies_dft,interaction_energies_dft,1.40 ± 0.12,1.12 ± 0.10,1.02 ± 0.09,0.98 ± 0.09,0.95 ± 0.08,0.91 ± 0.08,0.89 ± 0.08,0.86 ± 0.08,0.86 ± 0.08,1.54 ± 0.14,1.16 ± 0.11,1.03 ± 0.10,0.95 ± 0.09,0.91 ± 0.09,0.87 ± 0.08,0.84 ± 0.08,0.81 ± 0.08,0.79 ± 0.07
1.34,1.10,0.96,0.86,0.81,0.77,0.73,0.72,0.69,Random Forest,rf_distortion_energy_di_dft,distortion_energy_di_dft,1.21 ± 0.13,1.01 ± 0.12,0.95 ± 0.11,0.86 ± 0.10,0.80 ± 0.10,0.77 ± 0.09,0.74 ± 0.09,0.73 ± 0.09,0.70 ± 0.09,1.09 ± 0.12,0.85 ± 0.10,0.78 ± 0.09,0.72 ± 0.09,0.69 ± 0.08,0.68 ± 0.09,0.64 ± 0.08,0.63 ± 0.08,0.63 ± 0.08
1.38,1.07,1.00,0.94,0.89,0.86,0.82,0.81,0.81,Random Forest,rf_distortion_energy_dp_dft,distortion_energy_dp_dft,1.40 ± 0.15,1.17 ± 0.13,1.08 ± 0.12,1.03 ± 0.12,0.95 ± 0.11,0.94 ± 0.11,0.91 ± 0.10,0.86 ± 0.10,0.84 ± 0.09,1.31 ± 0.14,1.08 ± 0.13,0.97 ± 0.11,0.89 ± 0.10,0.82 ± 0.09,0.81 ± 0.09,0.78 ± 0.09,0.75 ± 0.08,0.73 ± 0.08
