   GoodVibes v3.0.1 2023/07/27 10:10:56
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_exo_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_exo_1027_reactant_1,0.006348,0.119690,0.133926,0.038541,0.038452,0.095385,0.095473,
o  ts_exo_1027_reactant_2,0.029730,0.042098,0.076270,0.029904,0.029905,0.046366,0.046365,
o  ts_exo_1028_reactant_1,0.006387,0.119670,0.133946,0.038548,0.038457,0.095398,0.095488,
o  ts_exo_1028_reactant_2,0.079453,0.136003,0.222700,0.037448,0.037454,0.185252,0.185247,
o  ts_exo_1029_reactant_1,0.120293,0.086005,0.213251,0.036541,0.036438,0.176710,0.176813,
o  ts_exo_1029_reactant_2,0.029492,0.079268,0.113822,0.030249,0.030236,0.083573,0.083586,
o  ts_exo_1030_reactant_1,0.119098,0.086017,0.212056,0.036507,0.036410,0.175549,0.175647,
o  ts_exo_1030_reactant_2,-0.018928,0.084751,0.071711,0.033064,0.033044,0.038647,0.038667,
o  ts_exo_1031_reactant_1,0.121976,0.085919,0.214876,0.036626,0.036493,0.178250,0.178382,
o  ts_exo_1031_reactant_2,0.039426,0.068510,0.112817,0.029633,0.029636,0.083185,0.083182,
o  ts_exo_1032_reactant_1,0.120494,0.085996,0.213434,0.036516,0.036414,0.176918,0.177019,
o  ts_exo_1032_reactant_2,0.030110,0.042103,0.076646,0.029891,0.029892,0.046756,0.046755,
o  ts_exo_1033_reactant_1,0.120396,0.085985,0.213329,0.036530,0.036425,0.176799,0.176904,
o  ts_exo_1033_reactant_2,0.079800,0.136010,0.223041,0.037421,0.037426,0.185621,0.185615,
o  ts_exo_1034_reactant_1,0.060498,0.076828,0.143764,0.035545,0.035542,0.108219,0.108222,
o  ts_exo_1034_reactant_2,0.039300,0.068502,0.112690,0.029643,0.029646,0.083047,0.083044,
o  ts_exo_1035_reactant_1,0.058766,0.076918,0.142090,0.035476,0.035477,0.106614,0.106613,
o  ts_exo_1035_reactant_2,0.030334,0.042093,0.076863,0.029895,0.029896,0.046968,0.046967,
o  ts_exo_1036_reactant_1,0.058785,0.076899,0.142094,0.035484,0.035485,0.106610,0.106609,
o  ts_exo_1036_reactant_2,0.079959,0.136005,0.223198,0.037425,0.037431,0.185773,0.185767,
o  ts_exo_1037_reactant_1,0.078430,0.076203,0.161275,0.036967,0.036944,0.124308,0.124330,
o  ts_exo_1037_reactant_2,0.030224,0.079252,0.114538,0.030247,0.030234,0.084291,0.084303,
o  ts_exo_1038_reactant_1,0.077212,0.076215,0.160059,0.036938,0.036918,0.123120,0.123141,
o  ts_exo_1038_reactant_2,-0.018078,0.084735,0.072542,0.033056,0.033036,0.039487,0.039506,
o  ts_exo_1039_reactant_1,0.080874,0.076120,0.163663,0.037042,0.037003,0.126622,0.126661,
o  ts_exo_1039_reactant_2,0.040345,0.068547,0.113758,0.029623,0.029626,0.084135,0.084132,
o  ts_exo_1040_reactant_1,0.078651,0.076201,0.161483,0.036936,0.036915,0.124547,0.124568,
o  ts_exo_1040_reactant_2,0.030987,0.042075,0.077498,0.029896,0.029897,0.047601,0.047600,
o  ts_exo_1041_reactant_1,0.078812,0.076183,0.161632,0.036954,0.036930,0.124678,0.124702,
o  ts_exo_1041_reactant_2,0.080575,0.135995,0.223800,0.037416,0.037421,0.186384,0.186378,
o  ts_exo_1042_reactant_1,-0.006424,0.078940,0.078602,0.034159,0.034165,0.044443,0.044437,
o  ts_exo_1042_reactant_2,0.029081,0.079273,0.113421,0.030260,0.030247,0.083161,0.083175,
o  ts_exo_1043_reactant_1,-0.007790,0.078954,0.077242,0.034137,0.034143,0.043106,0.043099,
o  ts_exo_1043_reactant_2,-0.019431,0.084761,0.071226,0.033085,0.033063,0.038141,0.038163,
o  ts_exo_1044_reactant_1,-0.004785,0.078881,0.080191,0.034172,0.034177,0.046018,0.046014,
o  ts_exo_1044_reactant_2,0.038883,0.068392,0.112211,0.029714,0.029717,0.082497,0.082494,
o  ts_exo_1045_reactant_1,-0.006310,0.078937,0.078702,0.034131,0.034137,0.044571,0.044565,
o  ts_exo_1045_reactant_2,0.029620,0.042110,0.076168,0.029897,0.029898,0.046272,0.046270,
o  ts_exo_1046_reactant_1,-0.006378,0.078929,0.078626,0.034129,0.034135,0.044497,0.044491,
o  ts_exo_1046_reactant_2,0.079351,0.136011,0.222601,0.037438,0.037443,0.185163,0.185158,
o  ts_exo_1047_reactant_1,0.074032,0.122228,0.202997,0.036592,0.035889,0.166404,0.167108,
o  ts_exo_1047_reactant_2,0.030079,0.079201,0.114348,0.030250,0.030240,0.084099,0.084108,
o  ts_exo_1048_reactant_1,0.024207,0.127844,0.159586,0.038363,0.038015,0.121223,0.121572,
o  ts_exo_1048_reactant_2,0.029825,0.079211,0.114100,0.030235,0.030227,0.083864,0.083873,
o  ts_exo_1049_reactant_1,0.135079,0.094496,0.236066,0.035988,0.035929,0.200078,0.200136,
o  ts_exo_1049_reactant_2,0.029946,0.079208,0.114213,0.030231,0.030223,0.083983,0.083991,
o  ts_exo_1050_reactant_1,0.074943,0.085536,0.166446,0.034992,0.034992,0.131454,0.131454,
o  ts_exo_1050_reactant_2,0.029733,0.079214,0.114010,0.030237,0.030228,0.083773,0.083781,
o  ts_exo_1051_reactant_1,0.093374,0.084862,0.184440,0.036427,0.036409,0.148013,0.148031,
o  ts_exo_1051_reactant_2,0.030127,0.079204,0.114395,0.030239,0.030230,0.084156,0.084165,
o  ts_exo_1052_reactant_1,0.012379,0.087281,0.105281,0.033656,0.033661,0.071625,0.071621,
o  ts_exo_1052_reactant_2,0.029159,0.079229,0.113451,0.030237,0.030228,0.083214,0.083223,
o  ts_exo_1053_reactant_1,0.072217,0.122249,0.201196,0.036535,0.035862,0.164661,0.165334,
o  ts_exo_1053_reactant_2,-0.018461,0.084693,0.072141,0.033117,0.033094,0.039024,0.039047,
o  ts_exo_1054_reactant_1,0.022332,0.127871,0.157730,0.038326,0.037998,0.119404,0.119732,
o  ts_exo_1054_reactant_2,-0.018843,0.084705,0.071767,0.033100,0.033078,0.038667,0.038689,
o  ts_exo_1055_reactant_1,0.133527,0.094503,0.234519,0.035984,0.035926,0.198535,0.198593,
o  ts_exo_1055_reactant_2,-0.018556,0.084700,0.072037,0.033071,0.033052,0.038966,0.038985,
o  ts_exo_1056_reactant_1,0.073306,0.085547,0.164816,0.034988,0.034988,0.129828,0.129828,
o  ts_exo_1056_reactant_2,-0.018838,0.084705,0.071768,0.033094,0.033073,0.038674,0.038695,
o  ts_exo_1057_reactant_1,0.091788,0.084871,0.182860,0.036424,0.036406,0.146436,0.146453,
o  ts_exo_1057_reactant_2,-0.018286,0.084695,0.072304,0.033076,0.033056,0.039228,0.039248,
o  ts_exo_1058_reactant_1,0.010701,0.087294,0.103614,0.033655,0.033659,0.069959,0.069954,
o  ts_exo_1058_reactant_2,-0.019512,0.084718,0.071112,0.033106,0.033084,0.038007,0.038028,
o  ts_exo_1059_reactant_1,0.073951,0.122242,0.202929,0.036535,0.035866,0.166394,0.167063,
o  ts_exo_1059_reactant_2,0.036136,0.069072,0.109932,0.029368,0.029370,0.080564,0.080562,
o  ts_exo_1060_reactant_1,0.023892,0.127855,0.159284,0.038349,0.038006,0.120935,0.121278,
o  ts_exo_1060_reactant_2,0.035378,0.069043,0.109148,0.029364,0.029366,0.079784,0.079782,
o  ts_exo_1061_reactant_1,0.135414,0.094463,0.236384,0.036029,0.035962,0.200355,0.200421,
o  ts_exo_1061_reactant_2,0.040185,0.068480,0.113557,0.029679,0.029682,0.083878,0.083875,
o  ts_exo_1062_reactant_1,0.074928,0.085529,0.166435,0.035010,0.035010,0.131425,0.131425,
o  ts_exo_1062_reactant_2,0.035838,0.069045,0.109609,0.029367,0.029369,0.080242,0.080240,
o  ts_exo_1063_reactant_1,0.093922,0.084854,0.184996,0.036463,0.036444,0.148533,0.148552,
o  ts_exo_1063_reactant_2,0.036712,0.069042,0.110477,0.029366,0.029368,0.081111,0.081109,
o  ts_exo_1064_reactant_1,0.012102,0.087288,0.105018,0.033664,0.033669,0.071354,0.071349,
o  ts_exo_1064_reactant_2,0.035200,0.069029,0.108961,0.029372,0.029374,0.079589,0.079587,
o  ts_exo_1065_reactant_1,0.073522,0.122239,0.202481,0.036449,0.035824,0.166032,0.166657,
o  ts_exo_1065_reactant_2,0.030472,0.042050,0.076968,0.029915,0.029916,0.047053,0.047052,
o  ts_exo_1066_reactant_1,0.023669,0.127848,0.159043,0.038326,0.037994,0.120717,0.121049,
o  ts_exo_1066_reactant_2,0.030221,0.042058,0.076726,0.029915,0.029916,0.046810,0.046809,
o  ts_exo_1067_reactant_1,0.134798,0.094482,0.235771,0.035992,0.035932,0.199778,0.199839,
o  ts_exo_1067_reactant_2,0.030448,0.042057,0.076945,0.029905,0.029907,0.047040,0.047039,
o  ts_exo_1068_reactant_1,0.074642,0.085530,0.166136,0.034988,0.034988,0.131147,0.131147,
o  ts_exo_1068_reactant_2,0.030253,0.042059,0.076754,0.029909,0.029910,0.046846,0.046845,
o  ts_exo_1069_reactant_1,0.093174,0.084852,0.184227,0.036425,0.036407,0.147802,0.147821,
