   GoodVibes v3.0.1 2023/07/27 10:08:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_endo_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_endo_1028_reactant_1,0.006967,0.119644,0.134513,0.038587,0.038491,0.095925,0.096022,
o  ts_endo_1028_reactant_2,0.080516,0.136011,0.223771,0.037449,0.037454,0.186323,0.186317,
o  ts_endo_1029_reactant_1,0.120554,0.085998,0.213506,0.036546,0.036443,0.176960,0.177063,
o  ts_endo_1029_reactant_2,0.029841,0.079228,0.114156,0.030325,0.030302,0.083831,0.083854,
o  ts_endo_1030_reactant_1,0.119339,0.086017,0.212304,0.036518,0.036426,0.175785,0.175877,
o  ts_endo_1030_reactant_2,-0.018515,0.084748,0.072132,0.033097,0.033071,0.039035,0.039061,
o  ts_endo_1031_reactant_1,0.121934,0.085929,0.214845,0.036639,0.036502,0.178205,0.178342,
o  ts_endo_1031_reactant_2,0.040242,0.068457,0.113607,0.029696,0.029699,0.083911,0.083908,
o  ts_endo_1032_reactant_1,0.120698,0.085993,0.213638,0.036528,0.036426,0.177111,0.177212,
o  ts_endo_1032_reactant_2,0.030597,0.042105,0.077137,0.029892,0.029893,0.047245,0.047244,
o  ts_endo_1033_reactant_1,0.121069,0.085964,0.213989,0.036549,0.036443,0.177440,0.177545,
o  ts_endo_1033_reactant_2,0.080844,0.136017,0.224096,0.037429,0.037434,0.186667,0.186661,
o  ts_endo_1034_reactant_1,0.059247,0.076864,0.142557,0.035576,0.035571,0.106981,0.106986,
o  ts_endo_1034_reactant_2,0.036934,0.069057,0.110714,0.029359,0.029361,0.081355,0.081353,
o  ts_endo_1035_reactant_1,0.058867,0.076915,0.142194,0.035495,0.035495,0.106699,0.106699,
o  ts_endo_1035_reactant_2,0.030834,0.042096,0.077367,0.029897,0.029899,0.047470,0.047469,
o  ts_endo_1036_reactant_1,0.059368,0.076879,0.142665,0.035507,0.035507,0.107158,0.107158,
o  ts_endo_1036_reactant_2,0.081046,0.136008,0.224292,0.037435,0.037440,0.186857,0.186852,
o  ts_endo_1037_reactant_1,0.078630,0.076196,0.161471,0.036976,0.036953,0.124495,0.124518,
o  ts_endo_1037_reactant_2,0.030595,0.079215,0.114894,0.030318,0.030297,0.084576,0.084598,
o  ts_endo_1038_reactant_1,0.077311,0.076217,0.160167,0.036954,0.036934,0.123213,0.123233,
o  ts_endo_1038_reactant_2,-0.017619,0.084730,0.073008,0.033091,0.033065,0.039917,0.039942,
o  ts_endo_1039_reactant_1,0.079520,0.076153,0.162351,0.037070,0.037028,0.125281,0.125322,
o  ts_endo_1039_reactant_2,0.037684,0.069055,0.111460,0.029359,0.029362,0.082100,0.082098,
o  ts_endo_1040_reactant_1,0.078729,0.076198,0.161563,0.036953,0.036932,0.124609,0.124631,
o  ts_endo_1040_reactant_2,0.031468,0.042078,0.077983,0.029899,0.029900,0.048085,0.048083,
o  ts_endo_1041_reactant_1,0.079343,0.076163,0.162152,0.036977,0.036953,0.125175,0.125200,
o  ts_endo_1041_reactant_2,0.081660,0.135997,0.224889,0.037425,0.037430,0.187465,0.187459,
o  ts_endo_1042_reactant_1,-0.006173,0.078930,0.078847,0.034168,0.034173,0.044679,0.044673,
o  ts_endo_1042_reactant_2,0.029431,0.079237,0.113756,0.030325,0.030303,0.083432,0.083454,
o  ts_endo_1043_reactant_1,-0.007596,0.078953,0.077446,0.034167,0.034172,0.043278,0.043273,
o  ts_endo_1043_reactant_2,-0.019208,0.084766,0.071467,0.033130,0.033096,0.038337,0.038371,
o  ts_endo_1044_reactant_1,-0.005890,0.078900,0.079116,0.034207,0.034211,0.044909,0.044905,
o  ts_endo_1044_reactant_2,0.036459,0.069043,0.110230,0.029363,0.029365,0.080868,0.080866,
o  ts_endo_1045_reactant_1,-0.006211,0.078932,0.078803,0.034150,0.034156,0.044653,0.044647,
o  ts_endo_1045_reactant_2,0.030030,0.042114,0.076583,0.029898,0.029899,0.046685,0.046684,
o  ts_endo_1046_reactant_1,-0.005770,0.078907,0.079222,0.034152,0.034158,0.045070,0.045064,
o  ts_endo_1046_reactant_2,0.080400,0.136015,0.223657,0.037446,0.037452,0.186211,0.186205,
o  ts_endo_1047_reactant_1,0.074149,0.122209,0.203102,0.036678,0.035926,0.166424,0.167176,
o  ts_endo_1047_reactant_2,0.029742,0.079222,0.114021,0.030218,0.030211,0.083803,0.083810,
o  ts_endo_1048_reactant_1,0.024296,0.127834,0.159664,0.038347,0.038009,0.121317,0.121655,
o  ts_endo_1048_reactant_2,0.029428,0.079228,0.113712,0.030217,0.030210,0.083495,0.083502,
o  ts_endo_1049_reactant_1,0.135172,0.094486,0.236148,0.035982,0.035926,0.200166,0.200222,
o  ts_endo_1049_reactant_2,0.029633,0.079229,0.113911,0.030199,0.030193,0.083711,0.083717,
