   GoodVibes v3.0.1 2023/07/27 21:06:35
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dist_endo_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_endo_1024_reactant_2,-117.891988,0.077119,-117.809655,0.030552,0.030512,-117.840207,-117.840167,
o  ts_endo_1025_reactant_1,-270.495801,0.114978,-270.373217,0.038062,0.037943,-270.411279,-270.411160,
o  ts_endo_1025_reactant_2,-193.100049,0.081886,-193.012183,0.033090,0.033080,-193.045273,-193.045262,
o  ts_endo_1026_reactant_1,-270.487099,0.114525,-270.365057,0.037728,0.037677,-270.402785,-270.402734,
o  ts_endo_1026_reactant_2,-133.936539,0.067114,-133.864584,0.029450,0.029452,-133.894034,-133.894036,
o  ts_endo_1027_reactant_1,-270.494583,0.114937,-270.372031,0.038093,0.037960,-270.410124,-270.409991,
o  ts_endo_1027_reactant_2,-538.183171,0.040975,-538.137663,0.030041,0.030042,-538.167704,-538.167705,
o  ts_endo_1028_reactant_1,-270.492128,0.114875,-270.369657,0.038027,0.037907,-270.407684,-270.407564,
o  ts_endo_1028_reactant_2,-309.629296,0.130608,-309.491184,0.037876,0.037876,-309.529060,-309.529060,
o  ts_endo_1029_reactant_1,-248.202047,0.081923,-248.113454,0.036089,0.035915,-248.149543,-248.149369,
o  ts_endo_1029_reactant_2,-117.893200,0.077117,-117.810827,0.030719,0.030623,-117.841545,-117.841449,
o  ts_endo_1030_reactant_1,-248.202729,0.081942,-248.114114,0.036094,0.035920,-248.150209,-248.150035,
o  ts_endo_1030_reactant_2,-193.101853,0.081923,-193.013931,0.033138,0.033124,-193.047070,-193.047055,
o  ts_endo_1031_reactant_1,-248.197779,0.081594,-248.109515,0.036041,0.035906,-248.145556,-248.145421,
o  ts_endo_1031_reactant_2,-133.935867,0.066921,-133.864014,0.029589,0.029591,-133.893602,-133.893604,
o  ts_endo_1032_reactant_1,-248.201922,0.081908,-248.113331,0.036140,0.035948,-248.149470,-248.149278,
o  ts_endo_1032_reactant_2,-538.184202,0.041012,-538.138661,0.030030,0.030031,-538.168691,-538.168692,
o  ts_endo_1033_reactant_1,-248.200574,0.081836,-248.112045,0.036163,0.035964,-248.148207,-248.148009,
o  ts_endo_1033_reactant_2,-309.629973,0.130606,-309.491846,0.037917,0.037917,-309.529763,-309.529763,
o  ts_endo_1034_reactant_1,-615.567706,0.073615,-615.488058,0.034754,0.034756,-615.522811,-615.522814,
o  ts_endo_1034_reactant_2,-133.937863,0.067074,-133.865890,0.029533,0.029535,-133.895423,-133.895425,
o  ts_endo_1035_reactant_1,-615.571010,0.073968,-615.491005,0.034805,0.034802,-615.525810,-615.525807,
o  ts_endo_1035_reactant_2,-538.184780,0.041030,-538.139222,0.030029,0.030030,-538.169251,-538.169252,
o  ts_endo_1036_reactant_1,-615.570110,0.073917,-615.490152,0.034803,0.034801,-615.524955,-615.524953,
o  ts_endo_1036_reactant_2,-309.630820,0.130606,-309.492687,0.037932,0.037932,-309.530620,-309.530619,
o  ts_endo_1037_reactant_1,-2729.574677,0.073406,-2729.495037,0.036215,0.036189,-2729.531253,-2729.531226,
o  ts_endo_1037_reactant_2,-117.893570,0.077132,-117.811189,0.030692,0.030607,-117.841882,-117.841796,
