   GoodVibes v3.0.1 2023/07/27 10:12:58
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_1515_reactant_1,-0.012001,0.079051,0.073150,0.034201,0.034206,0.038950,0.038945,
o  ts_1515_reactant_2,0.066586,0.061387,0.133518,0.032231,0.032176,0.101287,0.101342,
o  ts_1517_reactant_1,-0.011494,0.079107,0.073690,0.034151,0.034156,0.039539,0.039534,
o  ts_1517_reactant_2,0.107512,0.018853,0.130629,0.028682,0.028682,0.101947,0.101947,
o  ts_1518_reactant_1,-0.012254,0.079093,0.072918,0.034159,0.034164,0.038758,0.038754,
o  ts_1518_reactant_2,0.147848,0.112883,0.267602,0.036758,0.036763,0.230843,0.230838,
o  ts_1519_reactant_1,0.088981,0.094635,0.188531,0.031440,0.031442,0.157091,0.157089,
o  ts_1519_reactant_2,0.109148,0.025491,0.138645,0.024730,0.024730,0.113915,0.113915,
o  ts_1520_reactant_1,0.075204,0.122226,0.204127,0.036273,0.035748,0.167854,0.168379,
o  ts_1520_reactant_2,0.108950,0.025505,0.138457,0.024723,0.024723,0.113734,0.113734,
o  ts_1521_reactant_1,0.025225,0.127817,0.160564,0.038296,0.037993,0.122267,0.122571,
o  ts_1521_reactant_2,0.108941,0.025501,0.138445,0.024722,0.024722,0.113723,0.113722,
o  ts_1522_reactant_1,0.136154,0.094490,0.237111,0.035912,0.035871,0.201198,0.201240,
o  ts_1522_reactant_2,0.108397,0.025538,0.137928,0.024703,0.024703,0.113225,0.113225,
o  ts_1523_reactant_1,0.075776,0.085522,0.167248,0.034954,0.034956,0.132294,0.132293,
o  ts_1523_reactant_2,0.108610,0.025522,0.138130,0.024711,0.024711,0.113419,0.113419,
o  ts_1524_reactant_1,0.093526,0.084868,0.184570,0.036351,0.036341,0.148219,0.148229,
o  ts_1524_reactant_2,0.108572,0.025536,0.138102,0.024710,0.024710,0.113392,0.113392,
o  ts_1525_reactant_1,0.013893,0.087233,0.106741,0.033647,0.033652,0.073094,0.073089,
o  ts_1525_reactant_2,0.108411,0.025519,0.137929,0.024706,0.024706,0.113223,0.113223,
o  ts_1526_reactant_1,0.087619,0.094675,0.187209,0.031441,0.031443,0.155768,0.155767,
o  ts_1526_reactant_2,0.094172,0.056129,0.154876,0.028693,0.028694,0.126183,0.126182,
o  ts_1527_reactant_1,0.071846,0.122333,0.200861,0.036232,0.035712,0.164628,0.165148,
o  ts_1527_reactant_2,0.094078,0.056128,0.154771,0.028661,0.028663,0.126109,0.126108,
o  ts_1528_reactant_1,0.021494,0.127957,0.156941,0.038156,0.037924,0.118785,0.119017,
o  ts_1528_reactant_2,0.094050,0.056127,0.154740,0.028662,0.028664,0.126078,0.126076,
o  ts_1529_reactant_1,0.132885,0.094605,0.233932,0.035829,0.035803,0.198103,0.198128,
