   GoodVibes v3.0.1 2023/07/27 15:49:31
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dist_non_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_1503_reactant_1,-615.575016,0.073999,-615.495006,0.034735,0.034736,-615.529740,-615.529741,
o  ts_1503_reactant_2,-191.830947,0.058562,-191.766452,0.032655,0.032645,-191.799107,-191.799097,
o  ts_1504_reactant_1,-615.577970,0.074129,-615.497836,0.034723,0.034724,-615.532559,-615.532560,
o  ts_1504_reactant_2,-132.671279,0.041489,-132.624946,0.028844,0.028847,-132.653789,-132.653792,
o  ts_1505_reactant_1,-615.579110,0.074261,-615.498847,0.034731,0.034730,-615.533578,-615.533577,
o  ts_1505_reactant_2,-536.906963,0.017138,-536.885243,0.029236,0.029238,-536.914479,-536.914480,
o  ts_1506_reactant_1,-615.577491,0.074180,-615.497313,0.034720,0.034720,-615.532033,-615.532032,
o  ts_1506_reactant_2,-308.369520,0.107010,-308.255183,0.037460,0.037464,-308.292643,-308.292646,
o  ts_1507_reactant_1,-2729.579348,0.073514,-2729.499611,0.036181,0.036161,-2729.535793,-2729.535772,
o  ts_1507_reactant_2,-77.311818,0.023744,-77.283836,0.025109,0.025110,-77.308945,-77.308946,
o  ts_1508_reactant_1,-2729.579205,0.073519,-2729.499472,0.036152,0.036134,-2729.535625,-2729.535606,
o  ts_1508_reactant_2,-116.632905,0.053581,-116.574349,0.029324,0.029327,-116.603673,-116.603676,
o  ts_1509_reactant_1,-2729.578677,0.073474,-2729.499004,0.036109,0.036096,-2729.535113,-2729.535100,
o  ts_1509_reactant_2,-191.831040,0.058571,-191.766538,0.032654,0.032644,-191.799192,-191.799182,
o  ts_1510_reactant_1,-2729.582120,0.073550,-2729.502369,0.036120,0.036107,-2729.538489,-2729.538475,
o  ts_1510_reactant_2,-132.671707,0.041566,-132.624453,0.030934,0.030566,-132.655387,-132.655020,
o  ts_1511_reactant_1,-2729.582817,0.073664,-2729.502949,0.036137,0.036118,-2729.539087,-2729.539067,
o  ts_1511_reactant_2,-536.906657,0.017130,-536.884943,0.029241,0.029243,-536.914184,-536.914186,
o  ts_1512_reactant_1,-2729.581241,0.073603,-2729.501447,0.036106,0.036089,-2729.537553,-2729.537536,
o  ts_1512_reactant_2,-308.369329,0.107001,-308.254997,0.037466,0.037469,-308.292463,-308.292466,
o  ts_1513_reactant_1,-255.217925,0.075514,-255.136714,0.033379,0.033385,-255.170093,-255.170099,
o  ts_1513_reactant_2,-77.311949,0.023746,-77.283965,0.025105,0.025106,-77.309070,-77.309071,
o  ts_1514_reactant_1,-255.217626,0.075539,-255.136403,0.033351,0.033356,-255.169753,-255.169759,
o  ts_1514_reactant_2,-116.634158,0.053673,-116.575519,0.029317,0.029320,-116.604836,-116.604839,
o  ts_1515_reactant_1,-255.217378,0.075526,-255.136178,0.033327,0.033333,-255.169505,-255.169510,
o  ts_1515_reactant_2,-191.830096,0.058545,-191.765614,0.032652,0.032644,-191.798266,-191.798258,
o  ts_1516_reactant_1,-255.219054,0.075573,-255.137802,0.033337,0.033342,-255.171139,-255.171145,
o  ts_1516_reactant_2,-132.669961,0.041628,-132.623534,0.028782,0.028785,-132.652316,-132.652318,
o  ts_1517_reactant_1,-255.221180,0.075685,-255.139798,0.033388,0.033394,-255.173186,-255.173191,
o  ts_1517_reactant_2,-536.907812,0.017195,-536.886043,0.029239,0.029240,-536.915282,-536.915284,
o  ts_1518_reactant_1,-255.219069,0.075606,-255.137769,0.033377,0.033383,-255.171147,-255.171153,
o  ts_1518_reactant_2,-308.369518,0.107027,-308.255168,0.037450,0.037453,-308.292617,-308.292621,
