   GoodVibes v3.0.1 2023/07/26 15:37:14
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-118-1_reactant_1,-2938.842685,-2938.837905,0.150785,-2938.679983,0.046975,0.045812,-2938.726958,-2938.725796,
o  ts-118-1_reactant_2,-244.503458,-244.445844,0.035805,-244.462961,0.027439,0.027441,-244.490400,-244.490402,
o  ts-119-1_reactant_1,-2919.410711,-2919.407258,0.111528,-2919.289096,0.042364,0.041929,-2919.331461,-2919.331025,
o  ts-119-1_reactant_2,-244.503902,-244.446397,0.035743,-244.463442,0.027480,0.027482,-244.490923,-244.490924,
o  ts-120-2_reactant_1,-3035.897293,-3035.893152,0.158080,-3035.726818,0.048600,0.047016,-3035.775417,-3035.773834,
o  ts-120-2_reactant_2,-244.503331,-244.445833,0.035856,-244.462780,0.027441,0.027442,-244.490221,-244.490222,
o  ts-121-3_reactant_1,-540.915506,-540.911090,0.222017,-540.679479,0.050554,0.049118,-540.730033,-540.728597,
o  ts-121-3_reactant_2,-244.503208,-244.445720,0.035822,-244.462701,0.027428,0.027429,-244.490129,-244.490130,
o  ts-12-1_reactant_1,-824.860754,-824.857583,0.151256,-824.697615,0.045391,0.044824,-824.743006,-824.742439,
o  ts-12-1_reactant_2,-244.503735,-244.446230,0.035756,-244.463281,0.027453,0.027454,-244.490733,-244.490735,
o  ts-122-2_reactant_1,-501.600085,-501.596037,0.195090,-501.392623,0.046573,0.045779,-501.439197,-501.438402,
o  ts-122-2_reactant_2,-244.501700,-244.444589,0.035782,-244.461230,0.027434,0.027436,-244.488665,-244.488666,
o  ts-123-4_reactant_1,-556.977809,-556.972010,0.212660,-556.751711,0.048881,0.047837,-556.800592,-556.799548,
