   GoodVibes v3.0.1 2023/07/26 15:35:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-1-1_reactant_1,-0.062323,-0.059996,0.176106,0.124612,0.043608,0.042222,0.081004,0.082390,
o  ts-1-1_reactant_2,-0.097996,-0.038927,0.039097,-0.054388,0.027170,0.027171,-0.081558,-0.081559,
o  ts-120-1_reactant_1,0.025115,0.029763,0.165326,0.202577,0.048407,0.046939,0.154170,0.155637,
o  ts-120-1_reactant_2,-0.097793,-0.038765,0.039096,-0.054184,0.027172,0.027173,-0.081357,-0.081358,
o  ts-121-2_reactant_1,-0.000293,0.002664,0.232149,0.245306,0.049567,0.048195,0.195739,0.197111,
o  ts-121-2_reactant_2,-0.096393,-0.037453,0.039029,-0.052851,0.027174,0.027175,-0.080025,-0.080026,
o  ts-12-1_reactant_1,-0.061153,-0.058438,0.155318,0.106132,0.046733,0.045294,0.059399,0.060839,
o  ts-12-1_reactant_2,-0.099001,-0.039877,0.039166,-0.055326,0.027167,0.027168,-0.082493,-0.082494,
o  ts-122-1_reactant_1,0.004118,0.007115,0.203391,0.219741,0.046589,0.045765,0.173153,0.173976,
o  ts-122-1_reactant_2,-0.095638,-0.036694,0.038955,-0.052164,0.027185,0.027186,-0.079349,-0.079350,
o  ts-123-2_reactant_1,0.001300,0.006514,0.220708,0.235554,0.049720,0.048360,0.185833,0.187194,
o  ts-123-2_reactant_2,-0.089729,-0.031119,0.038625,-0.046559,0.027227,0.027228,-0.073786,-0.073787,
o  ts-124-3_reactant_1,0.006776,0.011332,0.248455,0.270486,0.054906,0.052323,0.215580,0.218163,
o  ts-124-3_reactant_2,-0.090029,-0.031413,0.038642,-0.046843,0.027226,0.027227,-0.074069,-0.074070,
o  ts-125-1_reactant_1,0.055776,0.060472,0.304677,0.378255,0.061166,0.058041,0.317089,0.320214,
o  ts-125-1_reactant_2,-0.091003,-0.032351,0.038698,-0.047762,0.027223,0.027224,-0.074985,-0.074986,
o  ts-126-2_reactant_1,0.016563,0.020810,0.276731,0.309685,0.056841,0.054448,0.252844,0.255238,
o  ts-126-2_reactant_2,-0.090554,-0.031905,0.038679,-0.047333,0.027221,0.027222,-0.074554,-0.074555,
o  ts-127-1_reactant_1,-0.076292,-0.073409,0.237437,0.175762,0.052626,0.050981,0.123136,0.124781,
o  ts-127-1_reactant_2,-0.096990,-0.038019,0.039069,-0.053407,0.027174,0.027175,-0.080582,-0.080583,
o  ts-128-1_reactant_1,0.057519,0.061156,0.287687,0.361555,0.057132,0.054689,0.304423,0.306866,
o  ts-128-1_reactant_2,-0.094477,-0.035664,0.038918,-0.051029,0.027200,0.027201,-0.078229,-0.078230,
o  ts-129-1_reactant_1,-0.005200,-0.002659,0.194206,0.202286,0.050567,0.048578,0.151719,0.153708,
o  ts-129-1_reactant_2,-0.100433,-0.041291,0.039296,-0.056631,0.027158,0.027159,-0.083789,-0.083790,
o  ts-130-2_reactant_1,0.000856,0.004493,0.165585,0.177699,0.045086,0.044380,0.132613,0.133319,
o  ts-130-2_reactant_2,-0.099347,-0.040193,0.039197,-0.055635,0.027173,0.027174,-0.082808,-0.082809,
o  ts-131-1_reactant_1,0.001205,0.006057,0.183761,0.197852,0.048702,0.047360,0.149150,0.150493,
o  ts-131-1_reactant_2,-0.091406,-0.032779,0.038733,-0.048126,0.027229,0.027230,-0.075355,-0.075356,
o  ts-13-1_reactant_1,-0.013282,-0.010291,0.211389,0.212805,0.054077,0.051705,0.158727,0.161100,
o  ts-13-1_reactant_2,-0.100954,-0.041705,0.039292,-0.057158,0.027157,0.027158,-0.084315,-0.084315,
o  ts-132-1_reactant_1,0.005501,0.009716,0.211162,0.231510,0.054849,0.052040,0.176660,0.179470,
o  ts-132-1_reactant_2,-0.091327,-0.032693,0.038731,-0.048052,0.027224,0.027225,-0.075276,-0.075277,
o  ts-133-1_reactant_1,0.054943,0.059214,0.267345,0.339700,0.060974,0.057689,0.278727,0.282011,
o  ts-133-1_reactant_2,-0.092418,-0.033734,0.038795,-0.049082,0.027219,0.027220,-0.076301,-0.076302,
o  ts-134-1_reactant_1,0.015564,0.019395,0.239026,0.270776,0.057271,0.054574,0.213504,0.216202,
o  ts-134-1_reactant_2,-0.091777,-0.033073,0.038769,-0.048467,0.027219,0.027220,-0.075686,-0.075687,
o  ts-135-1_reactant_1,-0.079336,-0.076149,0.199212,0.133667,0.051402,0.049825,0.082265,0.083843,
o  ts-135-1_reactant_2,-0.101597,-0.042315,0.039340,-0.057753,0.027155,0.027156,-0.084908,-0.084909,
o  ts-136-1_reactant_1,0.054975,0.058491,0.249851,0.321008,0.057562,0.054851,0.263446,0.266156,
o  ts-136-1_reactant_2,-0.096518,-0.037614,0.039057,-0.052934,0.027193,0.027194,-0.080127,-0.080128,
o  ts-137-1_reactant_1,0.015189,0.018485,0.192745,0.221006,0.050213,0.048650,0.170793,0.172356,
o  ts-137-1_reactant_2,-0.098440,-0.039358,0.039151,-0.054769,0.027181,0.027182,-0.081950,-0.081951,
o  ts-138-2_reactant_1,0.018524,0.022454,0.164813,0.195842,0.049982,0.047880,0.145860,0.147963,
o  ts-138-2_reactant_2,-0.101007,-0.041738,0.039302,-0.057197,0.027163,0.027164,-0.084360,-0.084361,
