   GoodVibes v3.0.1 2023/07/27 11:50:08
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  gs_di_1562,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1563,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1564,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1565,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1566,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1567,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1568,0.004527,0.072014,0.081198,0.030997,0.030998,0.050201,0.050200,
o  gs_di_1569,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1570,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1571,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1572,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1573,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1574,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
