   GoodVibes v3.0.1 2024/04/16 15:40:52
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts_119_am1_reopt_2_reactant_1,-0.092167,-0.084266,0.114942,0.033032,0.043399,0.042579,-0.010368,-0.009548,
o  ts_119_am1_reopt_2_reactant_2,-0.402732,-0.308969,0.122925,-0.269803,0.041930,0.041281,-0.311733,-0.311084,
o  ts_11_am1_reopt_reactant_1,-0.050327,-0.039567,0.128466,0.087885,0.040743,0.040170,0.047142,0.047715,
o  ts_11_am1_reopt_reactant_2,-0.402124,-0.306968,0.122813,-0.269249,0.042200,0.041477,-0.311449,-0.310726,
o  ts_120_am1_reopt_reactant_1,0.030286,0.041434,0.165145,0.207597,0.048732,0.047090,0.158865,0.160506,
o  ts_120_am1_reopt_reactant_2,-0.403840,-0.310030,0.122970,-0.270872,0.041891,0.041273,-0.312763,-0.312144,
o  ts_121_am1_reopt_reactant_1,0.011642,0.018923,0.232065,0.257028,0.049266,0.047838,0.207762,0.209190,
o  ts_121_am1_reopt_reactant_2,-0.400208,-0.305241,0.122733,-0.267415,0.042129,0.041456,-0.309544,-0.308871,
o  ts_122_am1_reopt_reactant_1,0.014274,0.020942,0.203125,0.228794,0.044485,0.043986,0.184309,0.184807,
o  ts_122_am1_reopt_reactant_2,-0.400107,-0.304979,0.122718,-0.267339,0.042096,0.041433,-0.309435,-0.308772,
o  ts_123_am1_reopt_2_reactant_1,0.005026,0.014238,0.220389,0.238033,0.047009,0.046388,0.191024,0.191645,
o  ts_123_am1_reopt_2_reactant_2,-0.397886,-0.302516,0.122642,-0.265184,0.042217,0.041468,-0.307401,-0.306652,
o  ts_124_am1_reopt_2_reactant_1,0.011898,0.020169,0.248039,0.274299,0.051779,0.050295,0.222521,0.224004,
o  ts_124_am1_reopt_2_reactant_2,-0.397973,-0.302604,0.122659,-0.265271,0.042148,0.041423,-0.307418,-0.306694,
o  ts_125_am1_reopt_reactant_1,0.061571,0.070772,0.304097,0.382721,0.058874,0.056359,0.323846,0.326362,
o  ts_125_am1_reopt_reactant_2,-0.398838,-0.303453,0.122723,-0.266107,0.042020,0.041330,-0.308128,-0.307437,
o  ts_126_am1_reopt_reactant_1,0.023689,0.031958,0.276321,0.316459,0.056625,0.054480,0.259834,0.261979,
o  ts_126_am1_reopt_reactant_2,-0.398117,-0.302845,0.122699,-0.265432,0.041822,0.041239,-0.307254,-0.306671,
o  ts_127_am1_reopt_reactant_1,-0.064104,-0.056973,0.237279,0.187702,0.052433,0.050726,0.135268,0.136975,
o  ts_127_am1_reopt_reactant_2,-0.400439,-0.305461,0.122738,-0.267636,0.042155,0.041471,-0.309791,-0.309107,
o  ts_128_am1_reopt_2_reactant_1,0.067672,0.076113,0.287090,0.370426,0.055463,0.053319,0.314964,0.317108,
o  ts_128_am1_reopt_2_reactant_2,-0.400445,-0.306573,0.122799,-0.267655,0.041841,0.041246,-0.309496,-0.308901,
o  ts_129_am1_reopt_reactant_1,0.010071,0.016252,0.194098,0.217279,0.049652,0.047984,0.167627,0.169294,
o  ts_129_am1_reopt_reactant_2,-0.401327,-0.306415,0.122783,-0.268483,0.042150,0.041464,-0.310633,-0.309947,
o  ts_12_am1_reopt_reactant_1,-0.045175,-0.036804,0.155220,0.121889,0.046159,0.045001,0.075729,0.076888,
o  ts_12_am1_reopt_reactant_2,-0.400266,-0.306238,0.122768,-0.267463,0.042044,0.041373,-0.309506,-0.308835,
o  ts_130_am1_reopt_reactant_1,0.014277,0.022240,0.165516,0.190872,0.044470,0.043920,0.146402,0.146952,
o  ts_130_am1_reopt_reactant_2,-0.401229,-0.306085,0.122766,-0.268410,0.042117,0.041443,-0.310527,-0.309853,
o  ts_131_am1_reopt_reactant_1,0.006576,0.017347,0.182943,0.202719,0.051095,0.048830,0.151624,0.153889,
o  ts_131_am1_reopt_reactant_2,-0.399064,-0.303713,0.122692,-0.266317,0.042192,0.041454,-0.308510,-0.307772,
o  ts_132_am1_reopt_reactant_1,0.013394,0.023120,0.210544,0.237981,0.051843,0.050147,0.186138,0.187834,
o  ts_132_am1_reopt_reactant_2,-0.399151,-0.303805,0.122706,-0.266404,0.042138,0.041417,-0.308541,-0.307821,
o  ts_133_am1_reopt_2_reactant_1,0.063606,0.074199,0.266591,0.346916,0.058670,0.056093,0.288246,0.290823,
o  ts_133_am1_reopt_2_reactant_2,-0.399985,-0.304630,0.122768,-0.267209,0.042019,0.041331,-0.309229,-0.308541,
o  ts_134_am1_reopt_reactant_1,0.021407,0.029897,0.238648,0.275503,0.055066,0.053001,0.220436,0.222502,
o  ts_134_am1_reopt_reactant_2,-0.398903,-0.303635,0.122750,-0.266157,0.041885,0.041274,-0.308042,-0.307431,
o  ts_135_am1_reopt_reactant_1,-0.062211,-0.054283,0.199531,0.151550,0.052457,0.050583,0.099093,0.100967,
o  ts_135_am1_reopt_reactant_2,-0.401678,-0.306743,0.122800,-0.268811,0.042177,0.041481,-0.310988,-0.310293,
o  ts_136_am1_reopt_reactant_1,0.066634,0.074689,0.249393,0.331389,0.055216,0.053017,0.276173,0.278372,
o  ts_136_am1_reopt_reactant_2,-0.401938,-0.308185,0.122856,-0.269091,0.041846,0.041248,-0.310937,-0.310338,
o  ts_137_am1_reopt_2_reactant_1,0.028270,0.036173,0.192780,0.234752,0.052054,0.050017,0.182698,0.184735,
o  ts_137_am1_reopt_2_reactant_2,-0.403319,-0.308407,0.122914,-0.270390,0.041990,0.041348,-0.312380,-0.311737,
o  ts_138_am1_reopt_reactant_1,0.032689,0.041407,0.164719,0.208807,0.046003,0.045230,0.162804,0.163577,
o  ts_138_am1_reopt_reactant_2,-0.401732,-0.306616,0.122789,-0.268891,0.042120,0.041442,-0.311011,-0.310333,
o  ts_139_am1_reopt_2_reactant_1,0.025604,0.037020,0.182298,0.221336,0.051474,0.049493,0.169862,0.171843,
o  ts_139_am1_reopt_2_reactant_2,-0.399317,-0.303969,0.122712,-0.266553,0.042174,0.041444,-0.308727,-0.307997,
o  ts_13_am1_reopt_reactant_1,0.005566,0.015534,0.211197,0.231404,0.054142,0.051685,0.177262,0.179719,
o  ts_13_am1_reopt_reactant_2,-0.398996,-0.304963,0.122770,-0.266210,0.041974,0.041319,-0.308184,-0.307529,
o  ts_140_am1_reopt_reactant_1,0.032656,0.042790,0.209878,0.257755,0.057348,0.053933,0.200406,0.203822,
o  ts_140_am1_reopt_reactant_2,-0.399359,-0.304016,0.122724,-0.266595,0.042131,0.041414,-0.308725,-0.308009,
o  ts_141_am1_reopt_2_reactant_1,0.081263,0.094029,0.265824,0.364126,0.060218,0.057340,0.303907,0.306786,
o  ts_141_am1_reopt_2_reactant_2,-0.400075,-0.304722,0.122780,-0.267287,0.042015,0.041331,-0.309302,-0.308618,
o  ts_142_am1_reopt_reactant_1,0.038876,0.047363,0.237876,0.292538,0.056794,0.054315,0.235744,0.238223,
o  ts_142_am1_reopt_reactant_2,-0.399475,-0.304239,0.122785,-0.266690,0.041895,0.041282,-0.308586,-0.307973,
o  ts_143_am1_reopt_reactant_1,-0.043600,-0.034385,0.198212,0.168580,0.052337,0.050693,0.116243,0.117887,
o  ts_143_am1_reopt_reactant_2,-0.401444,-0.306401,0.122810,-0.268618,0.041954,0.041336,-0.310572,-0.309954,
o  ts_144_am1_reopt_2_reactant_1,0.083941,0.094564,0.247919,0.347956,0.059303,0.055822,0.288654,0.292134,
o  ts_144_am1_reopt_2_reactant_2,-0.402230,-0.308446,0.122871,-0.269358,0.041948,0.041285,-0.311305,-0.310643,
o  ts_145_am1_reopt_2_reactant_1,0.064622,0.071735,0.286635,0.367995,0.058601,0.055639,0.309394,0.312356,
o  ts_145_am1_reopt_2_reactant_2,-0.400415,-0.306453,0.122813,-0.267604,0.041878,0.041268,-0.309482,-0.308872,
o  ts_146_am1_reopt_3_reactant_1,0.069144,0.077184,0.258439,0.342123,0.052648,0.051060,0.289475,0.291063,
o  ts_146_am1_reopt_3_reactant_2,-0.401268,-0.306140,0.122749,-0.268458,0.042138,0.041460,-0.310596,-0.309918,
o  ts_147_am1_reopt_reactant_1,0.058822,0.070562,0.276265,0.351571,0.057204,0.054770,0.294366,0.296800,
o  ts_147_am1_reopt_reactant_2,-0.397586,-0.303581,0.122645,-0.264912,0.041974,0.041330,-0.306886,-0.306242,
o  ts_148_am1_reopt_reactant_1,0.065171,0.075843,0.303917,0.387298,0.061942,0.058593,0.325356,0.328704,
o  ts_148_am1_reopt_reactant_2,-0.397644,-0.303607,0.122652,-0.264973,0.041930,0.041302,-0.306904,-0.306276,
o  ts_149_am1_reopt_reactant_1,0.110234,0.120143,0.359952,0.491016,0.068788,0.064231,0.422228,0.426784,
o  ts_149_am1_reopt_reactant_2,-0.401062,-0.306070,0.122792,-0.268205,0.042199,0.041485,-0.310404,-0.309690,
o  ts_14_am1_reopt_2_reactant_1,-0.034487,-0.028452,0.183182,0.161775,0.048623,0.047529,0.113152,0.114246,
o  ts_14_am1_reopt_2_reactant_2,-0.402704,-0.309174,0.122879,-0.269789,0.042104,0.041389,-0.311893,-0.311178,
o  ts_150_am1_reopt_2_reactant_1,0.078945,0.087475,0.331945,0.430257,0.064490,0.060904,0.365768,0.369354,
