   GoodVibes v3.0.1 2024/01/08 10:14:56
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc water_SPE --csv --output am1_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts_140_am1_reopt,-0.378724,-0.291779,0.336319,-0.017185,0.078822,0.073797,-0.096007,-0.090981,
o  ts_141_am1_reopt_2,-0.327605,-0.247866,0.392263,0.092629,0.085852,0.079439,0.006777,0.013190,
o  ts_142_am1_reopt,-0.357775,-0.272716,0.363735,0.032987,0.083751,0.077608,-0.050763,-0.044621,
o  ts_143_am1_reopt,-0.449906,-0.364383,0.323971,-0.100654,0.079906,0.074255,-0.180560,-0.174909,
o  ts_144_am1_reopt_2,-0.321119,-0.238855,0.373817,0.079932,0.084431,0.078050,-0.004500,0.001881,
o  ts_145_am1_reopt_2,-0.331571,-0.253815,0.412228,0.107796,0.082494,0.076890,0.025302,0.030906,
o  ts_146_am1_reopt_3,-0.333912,-0.254089,0.384335,0.076154,0.078998,0.074042,-0.002844,0.002112,
o  ts_147_am1_reopt,-0.336117,-0.252973,0.402205,0.092859,0.080954,0.075840,0.011905,0.017019,
o  ts_148_am1_reopt,-0.330040,-0.247962,0.429911,0.128279,0.085061,0.079327,0.043218,0.048951,
o  ts_149_am1_reopt,-0.286638,-0.209508,0.485357,0.230137,0.093806,0.085830,0.136331,0.144307,
o  ts_14_am1_reopt_2,-0.438515,-0.356508,0.308904,-0.106145,0.074413,0.069770,-0.180559,-0.175915,
o  ts_150_am1_reopt_2,-0.310383,-0.231973,0.457532,0.176884,0.088430,0.082172,0.088454,0.094712,
o  ts_151_am1_reopt,-0.410104,-0.328711,0.417687,0.035944,0.086255,0.079775,-0.050311,-0.043830,
o  ts_152_am1_reopt_2,-0.276306,-0.198471,0.467406,0.221436,0.090751,0.083436,0.130685,0.138000,
o  ts_153_am1_reopt_2,-0.382216,-0.298839,0.328917,-0.030881,0.071101,0.067211,-0.101981,-0.098091,
o  ts_154_am1_reopt,-0.379106,-0.295163,0.300491,-0.057386,0.068740,0.064964,-0.126126,-0.122350,
o  ts_155_am1_reopt_2,-0.389808,-0.302862,0.318769,-0.048964,0.070352,0.066488,-0.119315,-0.115452,
o  ts_156_am1_reopt,-0.382487,-0.297040,0.346267,-0.012476,0.074207,0.069988,-0.086683,-0.082464,
o  ts_157_am1_reopt_3,-0.334472,-0.254645,0.402044,0.094219,0.082555,0.076367,0.011665,0.017852,
