   GoodVibes v3.0.1 2023/07/31 16:50:05
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_exo_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_exo_1060,0.063859,0.201092,0.275696,0.045412,0.044941,0.230283,0.230755,
o  ts_exo_1061,0.180083,0.167219,0.357243,0.043629,0.043482,0.313614,0.313760,
o  ts_exo_1062,0.116045,0.158761,0.283989,0.042095,0.042014,0.241894,0.241976,
o  ts_exo_1063,0.136113,0.158129,0.303670,0.043431,0.043309,0.260239,0.260361,
o  ts_exo_1064,0.051490,0.160495,0.220803,0.040857,0.040801,0.179946,0.180002,
o  ts_exo_1065,0.107494,0.168552,0.285649,0.043343,0.043051,0.242307,0.242598,
o  ts_exo_1066,0.056673,0.173888,0.241146,0.045989,0.045349,0.195157,0.195796,
o  ts_exo_1067,0.168409,0.140615,0.318529,0.043523,0.043264,0.275006,0.275265,
o  ts_exo_1068,0.107740,0.131660,0.248375,0.042513,0.042324,0.205863,0.206051,
o  ts_exo_1069,0.127216,0.130999,0.267437,0.043841,0.043568,0.223596,0.223870,
o  ts_exo_1070,0.044077,0.133374,0.186074,0.041312,0.041180,0.144761,0.144893,
o  ts_exo_1071,0.160181,0.261785,0.434924,0.051495,0.050198,0.383430,0.384727,
o  ts_exo_1072,0.109156,0.267097,0.390200,0.054147,0.052406,0.336054,0.337794,
o  ts_exo_1073,0.220230,0.233802,0.466914,0.051722,0.050375,0.415191,0.416539,
o  ts_exo_1074,0.159916,0.224847,0.397115,0.050700,0.049420,0.346415,0.347694,
o  ts_exo_1075,0.179415,0.224187,0.416212,0.052033,0.050611,0.364179,0.365601,
o  ts_exo_1076,0.096229,0.226579,0.334792,0.049487,0.048331,0.285305,0.286461,
o  ts_exo_1077,0.056525,0.181950,0.248422,0.043601,0.043190,0.204821,0.205232,
o  ts_exo_1078,0.003946,0.186989,0.201961,0.046650,0.045874,0.155310,0.156086,
o  ts_exo_1079,0.123812,0.154066,0.287682,0.043566,0.043350,0.244116,0.244332,
o  ts_exo_1080,0.062399,0.145022,0.216703,0.042574,0.042419,0.174130,0.174285,
o  ts_exo_1081,0.083116,0.144397,0.237037,0.043905,0.043696,0.193132,0.193341,
o  ts_exo_1082,-0.010598,0.146666,0.145040,0.041430,0.041315,0.103610,0.103725,
o  ts_exo_1083,0.005309,0.186947,0.203404,0.047280,0.046205,0.156124,0.157199,
o  ts_exo_1084,-0.047947,0.192227,0.156418,0.049800,0.048551,0.106618,0.107866,
o  ts_exo_1085,0.073002,0.159064,0.243069,0.047252,0.046333,0.195817,0.196736,
o  ts_exo_1086,0.011486,0.150014,0.171995,0.046342,0.045447,0.125653,0.126548,
o  ts_exo_1087,0.032230,0.149390,0.192346,0.047569,0.046652,0.144776,0.145694,
o  ts_exo_1088,-0.065354,0.152220,0.096761,0.043858,0.043543,0.052903,0.053218,
o  ts_exo_1089,0.066598,0.171485,0.247896,0.043410,0.042991,0.204487,0.204905,
o  ts_exo_1090,0.013172,0.176326,0.200457,0.046615,0.045787,0.153842,0.154670,
o  ts_exo_1091,0.133813,0.143446,0.286975,0.043505,0.043232,0.243470,0.243743,
o  ts_exo_1092,0.072274,0.134406,0.215874,0.042523,0.042301,0.173352,0.173573,
o  ts_exo_1093,0.093333,0.133860,0.236602,0.043775,0.043525,0.192827,0.193077,
o  ts_exo_1094,-0.001280,0.135870,0.143524,0.041462,0.041281,0.102062,0.102243,
o  ts_exo_1095,0.055343,0.144613,0.209392,0.043295,0.042836,0.166097,0.166556,
o  ts_exo_1096,0.002242,0.149902,0.162552,0.045709,0.045101,0.116843,0.117451,
o  ts_exo_1097,0.124121,0.116745,0.250162,0.043281,0.042960,0.206881,0.207202,
o  ts_exo_1098,0.062111,0.107693,0.178581,0.042301,0.042038,0.136280,0.136543,
o  ts_exo_1099,0.082911,0.107048,0.198984,0.043630,0.043284,0.155354,0.155700,
o  ts_exo_1100,-0.010666,0.109347,0.107147,0.041172,0.040974,0.065975,0.066172,
o  ts_exo_1101,0.107428,0.237616,0.357916,0.051759,0.050172,0.306158,0.307744,
o  ts_exo_1102,0.054416,0.242913,0.311165,0.054113,0.052342,0.257052,0.258823,
o  ts_exo_1103,0.175248,0.209689,0.397695,0.051792,0.050280,0.345903,0.347415,
o  ts_exo_1104,0.113510,0.200639,0.326385,0.050797,0.049339,0.275588,0.277046,
o  ts_exo_1105,0.134360,0.199995,0.346848,0.052114,0.050536,0.294734,0.296312,
o  ts_exo_1106,0.040547,0.202306,0.254767,0.049690,0.048333,0.205077,0.206434,
o  ts_exo_1107,0.121164,0.195125,0.326177,0.043224,0.043017,0.282953,0.283160,
o  ts_exo_1108,0.072124,0.200063,0.283146,0.046184,0.045630,0.236962,0.237516,
o  ts_exo_1109,0.184844,0.167017,0.361689,0.043515,0.043334,0.318173,0.318354,
o  ts_exo_1110,0.120537,0.158086,0.287905,0.042478,0.042359,0.245427,0.245546,
o  ts_exo_1111,0.140089,0.157446,0.307072,0.043827,0.043660,0.263245,0.263412,
o  ts_exo_1112,0.061031,0.159643,0.229628,0.041312,0.041223,0.188316,0.188405,
o  ts_exo_1113,0.065984,0.200129,0.277168,0.046660,0.045914,0.230508,0.231254,
o  ts_exo_1114,0.017216,0.205061,0.234414,0.049668,0.048516,0.184746,0.185898,
o  ts_exo_1115,0.130021,0.172029,0.313036,0.046925,0.046184,0.266111,0.266853,
o  ts_exo_1116,0.065654,0.163090,0.239196,0.045927,0.045233,0.193269,0.193963,
o  ts_exo_1117,0.085241,0.162446,0.258390,0.047233,0.046489,0.211157,0.211901,
o  ts_exo_1118,0.006152,0.164645,0.180926,0.044818,0.044152,0.136108,0.136774,
o  ts_exo_1119,0.130849,0.184641,0.325272,0.043087,0.042866,0.282185,0.282406,
o  ts_exo_1120,0.080814,0.189558,0.281195,0.045872,0.045362,0.235322,0.235833,
o  ts_exo_1121,0.194264,0.156489,0.360464,0.043302,0.043139,0.317162,0.317325,
o  ts_exo_1122,0.129823,0.147521,0.286524,0.042315,0.042192,0.244210,0.244332,
o  ts_exo_1123,0.149834,0.146876,0.306169,0.043764,0.043570,0.262405,0.262599,
o  ts_exo_1124,0.069886,0.149121,0.227829,0.041055,0.040978,0.186774,0.186851,
o  ts_exo_1125,0.116920,0.157626,0.283968,0.043010,0.042747,0.240958,0.241221,
o  ts_exo_1126,0.068198,0.162596,0.241279,0.045946,0.045298,0.195333,0.195981,
o  ts_exo_1127,0.182071,0.129528,0.320964,0.043312,0.043030,0.277651,0.277934,
o  ts_exo_1128,0.117157,0.120591,0.246569,0.042289,0.042059,0.204280,0.204510,
o  ts_exo_1129,0.136848,0.119922,0.265857,0.043653,0.043338,0.222204,0.222519,
o  ts_exo_1130,0.057733,0.122158,0.188379,0.041122,0.040955,0.147257,0.147424,
o  ts_exo_1131,0.169697,0.250934,0.433353,0.050911,0.049733,0.382442,0.383619,
o  ts_exo_1132,0.120055,0.255806,0.389677,0.053877,0.052261,0.335800,0.337416,
o  ts_exo_1133,0.234221,0.222758,0.469685,0.051326,0.050033,0.418360,0.419652,
o  ts_exo_1134,0.169425,0.213799,0.395390,0.050301,0.049057,0.345089,0.346333,
o  ts_exo_1135,0.189269,0.213139,0.414851,0.051667,0.050286,0.363185,0.364565,
o  ts_exo_1136,0.109897,0.215383,0.337100,0.049141,0.048019,0.287959,0.289081,
o  ts_exo_1137,0.058281,0.152465,0.219756,0.041633,0.041186,0.178123,0.178570,
o  ts_exo_1138,0.047234,0.180495,0.238273,0.045577,0.044595,0.192695,0.193678,
o  ts_exo_1139,-0.026815,0.186061,0.170765,0.048267,0.047002,0.122498,0.123763,
o  ts_exo_1140,0.046540,0.169868,0.226774,0.044967,0.044033,0.181806,0.182741,
o  ts_exo_1141,0.043737,0.143385,0.197083,0.044975,0.043981,0.152107,0.153101,
o  ts_exo_1142,0.102753,0.236382,0.352502,0.053519,0.051413,0.298982,0.301089,
o  ts_exo_1143,0.045210,0.180530,0.236487,0.046070,0.045057,0.190417,0.191430,
o  ts_exo_1144,0.034821,0.208597,0.255654,0.049955,0.048268,0.205699,0.207386,
o  ts_exo_1145,-0.040509,0.214288,0.186911,0.051854,0.050446,0.135057,0.136466,
o  ts_exo_1146,0.033952,0.197937,0.243984,0.049097,0.047823,0.194887,0.196161,
o  ts_exo_1147,0.030402,0.171336,0.213493,0.049422,0.047891,0.164071,0.165602,
o  ts_exo_1148,0.089774,0.264452,0.369291,0.057395,0.054976,0.311896,0.314315,
o  ts_exo_1149,-0.010677,0.186025,0.187056,0.048391,0.047426,0.138665,0.139630,
o  ts_exo_1150,-0.021590,0.214283,0.205740,0.051401,0.050202,0.154339,0.155538,
o  ts_exo_1151,-0.095482,0.219701,0.138379,0.054536,0.052922,0.083842,0.085457,
o  ts_exo_1152,-0.022417,0.203541,0.194120,0.051392,0.050004,0.142728,0.144116,
o  ts_exo_1153,-0.025280,0.176816,0.164274,0.051806,0.050244,0.112469,0.114031,
o  ts_exo_1154,0.034254,0.269946,0.320196,0.059155,0.056955,0.261041,0.263241,
o  ts_exo_1155,0.106959,0.152374,0.270020,0.046227,0.045364,0.223794,0.224657,
o  ts_exo_1156,0.095801,0.180476,0.288427,0.049767,0.048492,0.238660,0.239935,
o  ts_exo_1157,0.023289,0.186065,0.222523,0.052699,0.050942,0.169824,0.171581,
o  ts_exo_1158,0.093817,0.170024,0.275707,0.048855,0.047651,0.226852,0.228056,
o  ts_exo_1159,0.094601,0.143449,0.249654,0.049458,0.047915,0.200196,0.201739,
o  ts_exo_1160,0.151646,0.236418,0.403060,0.057712,0.055144,0.345348,0.347916,
o  ts_exo_1161,0.044246,0.143386,0.197777,0.045168,0.044439,0.152608,0.153338,
o  ts_exo_1162,0.033156,0.171419,0.216223,0.048848,0.047677,0.167375,0.168546,
o  ts_exo_1163,-0.039555,0.177028,0.150126,0.051659,0.050055,0.098467,0.100071,
o  ts_exo_1164,0.031489,0.161022,0.203837,0.047825,0.046754,0.156012,0.157083,
o  ts_exo_1165,0.030831,0.134370,0.176308,0.048474,0.047073,0.127833,0.129235,
o  ts_exo_1166,0.088994,0.227344,0.330841,0.056841,0.054329,0.274000,0.276512,
o  ts_exo_1167,0.065245,0.142677,0.218287,0.046476,0.045646,0.171811,0.172641,
o  ts_exo_1168,0.054445,0.170614,0.236993,0.050429,0.048976,0.186563,0.188016,
o  ts_exo_1169,-0.018148,0.176282,0.171026,0.052960,0.051215,0.118066,0.119811,
o  ts_exo_1170,0.052683,0.160304,0.224552,0.049199,0.047966,0.175353,0.176586,
o  ts_exo_1171,0.052126,0.133623,0.197097,0.049799,0.048222,0.147298,0.148874,
o  ts_exo_1172,0.109926,0.226598,0.351274,0.058136,0.055402,0.293138,0.295872,
o  ts_exo_1173,-0.021959,0.145320,0.133208,0.044087,0.043406,0.089121,0.089802,
o  ts_exo_1174,-0.033578,0.173508,0.151180,0.047361,0.046442,0.103819,0.104737,
o  ts_exo_1175,-0.105990,0.178990,0.085337,0.050621,0.049068,0.034716,0.036270,
o  ts_exo_1176,-0.035148,0.163106,0.138878,0.046412,0.045485,0.092466,0.093392,
o  ts_exo_1177,-0.035325,0.136330,0.111787,0.047345,0.046069,0.064442,0.065718,
o  ts_exo_1178,0.022934,0.229337,0.266433,0.055679,0.053348,0.210754,0.213085,
o  ts_exo_1179,0.076685,0.160966,0.246361,0.040978,0.040830,0.205382,0.205530,
o  ts_exo_1180,0.065619,0.189005,0.264867,0.044894,0.044242,0.219973,0.220625,
o  ts_exo_1181,-0.008636,0.194547,0.197147,0.047624,0.046650,0.149523,0.150496,
o  ts_exo_1182,0.066969,0.178474,0.255446,0.044306,0.043578,0.211141,0.211868,
o  ts_exo_1183,0.061461,0.151845,0.222984,0.044348,0.043623,0.178635,0.179360,
