   GoodVibes v3.0.1 2023/07/31 16:47:31
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_endo_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_endo_1061,0.174896,0.167476,0.352187,0.043351,0.043155,0.308836,0.309032,
o  ts_endo_1062,0.114211,0.158554,0.282035,0.042308,0.042165,0.239727,0.239870,
o  ts_endo_1063,0.134361,0.157922,0.301793,0.043625,0.043455,0.258168,0.258338,
o  ts_endo_1064,0.049654,0.160309,0.218863,0.041068,0.040951,0.177795,0.177912,
o  ts_endo_1065,0.108062,0.168564,0.286249,0.043393,0.043060,0.242856,0.243189,
o  ts_endo_1066,0.056778,0.173882,0.241269,0.046058,0.045380,0.195211,0.195888,
o  ts_endo_1067,0.168893,0.140622,0.319041,0.043570,0.043273,0.275471,0.275768,
o  ts_endo_1068,0.108212,0.131648,0.248863,0.042573,0.042349,0.206290,0.206513,
o  ts_endo_1069,0.127766,0.130973,0.267991,0.043896,0.043603,0.224095,0.224388,
o  ts_endo_1070,0.044473,0.133381,0.186497,0.041366,0.041194,0.145131,0.145303,
o  ts_endo_1071,0.161491,0.261592,0.436145,0.051926,0.050399,0.384219,0.385746,
o  ts_endo_1072,0.110414,0.266866,0.391357,0.054754,0.052708,0.336603,0.338650,
o  ts_endo_1073,0.221687,0.233588,0.468276,0.052238,0.050610,0.416038,0.417666,
o  ts_endo_1074,0.161327,0.224612,0.398414,0.051223,0.049674,0.347191,0.348740,
o  ts_endo_1075,0.180894,0.223941,0.417564,0.052491,0.050843,0.365073,0.366721,
o  ts_endo_1076,0.097563,0.226359,0.336030,0.050076,0.048607,0.285954,0.287423,
o  ts_endo_1077,0.057339,0.181861,0.249169,0.043642,0.043227,0.205527,0.205942,
o  ts_endo_1078,0.004624,0.186870,0.202573,0.046792,0.045994,0.155781,0.156579,
o  ts_endo_1079,0.124676,0.153962,0.288474,0.043636,0.043401,0.244838,0.245073,
o  ts_endo_1080,0.063231,0.144905,0.217455,0.042653,0.042482,0.174802,0.174973,
o  ts_endo_1081,0.084027,0.144280,0.237863,0.043959,0.043743,0.193904,0.194120,
o  ts_endo_1082,-0.009874,0.146557,0.145697,0.041545,0.041407,0.104152,0.104290,
o  ts_endo_1083,0.005673,0.186838,0.203698,0.047481,0.046307,0.156217,0.157391,
o  ts_endo_1084,-0.047017,0.191859,0.157151,0.050790,0.049101,0.106362,0.108050,
o  ts_endo_1085,0.073203,0.158937,0.243195,0.047572,0.046483,0.195623,0.196712,
o  ts_endo_1086,0.011638,0.149879,0.172062,0.046598,0.045594,0.125464,0.126469,
o  ts_endo_1087,0.032480,0.149240,0.192500,0.047821,0.046790,0.144679,0.145711,
o  ts_endo_1088,-0.061486,0.151533,0.100297,0.045665,0.044621,0.054632,0.055676,
o  ts_endo_1089,0.066393,0.171223,0.247490,0.043508,0.043069,0.203982,0.204421,
o  ts_endo_1090,0.012488,0.176006,0.199502,0.046506,0.045759,0.152996,0.153744,
o  ts_endo_1091,0.133398,0.143127,0.286292,0.043440,0.043228,0.242852,0.243064,
o  ts_endo_1092,0.071835,0.134076,0.215160,0.042481,0.042313,0.172679,0.172847,
o  ts_endo_1093,0.093183,0.133522,0.236198,0.043894,0.043642,0.192304,0.192555,
o  ts_endo_1094,-0.002147,0.135632,0.142441,0.041300,0.041187,0.101141,0.101254,
o  ts_endo_1095,0.054926,0.144539,0.208917,0.043295,0.042838,0.165622,0.166080,
o  ts_endo_1096,0.002236,0.149588,0.162372,0.046387,0.045523,0.115986,0.116850,
o  ts_endo_1097,0.123514,0.116648,0.249484,0.043296,0.042972,0.206188,0.206513,
o  ts_endo_1098,0.061466,0.107581,0.177855,0.042321,0.042067,0.135534,0.135788,
o  ts_endo_1099,0.082409,0.106917,0.198386,0.043651,0.043323,0.154735,0.155063,
o  ts_endo_1100,-0.011547,0.109269,0.106211,0.041191,0.040996,0.065020,0.065216,
o  ts_endo_1101,0.108577,0.237543,0.359032,0.052031,0.050285,0.307000,0.308747,
o  ts_endo_1102,0.055364,0.242537,0.311939,0.055316,0.052977,0.256623,0.258962,
o  ts_endo_1103,0.176514,0.209576,0.398912,0.052199,0.050428,0.346713,0.348485,
o  ts_endo_1104,0.114744,0.200502,0.327555,0.051239,0.049526,0.276315,0.278029,
o  ts_endo_1105,0.135780,0.199836,0.348183,0.052481,0.050684,0.295702,0.297499,
o  ts_endo_1106,0.041513,0.202210,0.255706,0.050236,0.048569,0.205470,0.207137,
o  ts_endo_1107,0.122980,0.195036,0.327911,0.043210,0.042993,0.284701,0.284918,
o  ts_endo_1108,0.073837,0.199960,0.284780,0.046219,0.045658,0.238561,0.239122,
o  ts_endo_1109,0.186717,0.166926,0.363479,0.043498,0.043312,0.319981,0.320167,
o  ts_endo_1110,0.122360,0.157986,0.289641,0.042473,0.042347,0.247168,0.247294,
o  ts_endo_1111,0.141978,0.157346,0.308869,0.043802,0.043635,0.265066,0.265234,
o  ts_endo_1112,0.062767,0.159548,0.231284,0.041324,0.041228,0.189960,0.190056,
o  ts_endo_1113,0.071094,0.199941,0.282152,0.046824,0.046023,0.235328,0.236129,
o  ts_endo_1114,0.022003,0.204875,0.239097,0.049923,0.048685,0.189175,0.190412,
o  ts_endo_1115,0.135099,0.171836,0.317988,0.047098,0.046288,0.270890,0.271700,
o  ts_endo_1116,0.070587,0.162895,0.244004,0.046107,0.045359,0.197897,0.198646,
o  ts_endo_1117,0.090257,0.162240,0.263271,0.047403,0.046607,0.215868,0.216664,
o  ts_endo_1118,0.010965,0.164454,0.185622,0.045023,0.044293,0.140599,0.141329,
o  ts_endo_1119,0.132487,0.184728,0.326860,0.042599,0.042453,0.284261,0.284407,
o  ts_endo_1120,0.082884,0.189500,0.283192,0.045813,0.045298,0.237379,0.237895,
o  ts_endo_1121,0.196433,0.156462,0.362550,0.043085,0.042947,0.319466,0.319603,
o  ts_endo_1122,0.131832,0.147529,0.288470,0.042049,0.041964,0.246421,0.246506,
o  ts_endo_1123,0.151739,0.146928,0.308011,0.043330,0.043218,0.264681,0.264793,
o  ts_endo_1124,0.071956,0.149033,0.229808,0.041022,0.040940,0.188786,0.188868,
o  ts_endo_1125,0.120164,0.157600,0.287186,0.042964,0.042699,0.244222,0.244487,
o  ts_endo_1126,0.071020,0.162563,0.244082,0.045929,0.045293,0.198153,0.198789,
o  ts_endo_1127,0.185176,0.129485,0.324033,0.043270,0.042996,0.280763,0.281037,
o  ts_endo_1128,0.120199,0.120537,0.249569,0.042250,0.042040,0.207319,0.207529,
o  ts_endo_1129,0.139985,0.119861,0.268946,0.043607,0.043326,0.225339,0.225620,
o  ts_endo_1130,0.060658,0.122123,0.191278,0.041094,0.040936,0.150184,0.150342,
o  ts_endo_1131,0.173904,0.250676,0.437437,0.051528,0.050047,0.385909,0.387390,
o  ts_endo_1133,0.238446,0.222484,0.473778,0.051968,0.050353,0.421810,0.423425,
o  ts_endo_1134,0.173627,0.213515,0.399456,0.050975,0.049406,0.348482,0.350050,
o  ts_endo_1135,0.193535,0.212841,0.418966,0.052283,0.050615,0.366683,0.368352,
o  ts_endo_1136,0.113984,0.215115,0.341067,0.049883,0.048390,0.291184,0.292677,
o  ts_endo_1137,0.058514,0.152359,0.219874,0.041511,0.041156,0.178362,0.178717,
o  ts_endo_1138,0.049534,0.180766,0.240567,0.044395,0.043852,0.196171,0.196715,
o  ts_endo_1139,-0.024119,0.186083,0.173432,0.047971,0.046822,0.125461,0.126610,
o  ts_endo_1140,0.047685,0.170140,0.227922,0.044024,0.043351,0.183898,0.184571,
o  ts_endo_1141,0.046003,0.143330,0.199233,0.044638,0.043712,0.154595,0.155522,
o  ts_endo_1142,0.105380,0.236232,0.355029,0.053522,0.051450,0.301507,0.303579,
o  ts_endo_1143,0.045453,0.180623,0.236679,0.045297,0.044657,0.191382,0.192021,
o  ts_endo_1144,0.036399,0.209144,0.257353,0.047897,0.047181,0.209455,0.210171,
o  ts_endo_1145,-0.037355,0.214284,0.190082,0.051882,0.050410,0.138200,0.139672,
o  ts_endo_1146,0.034609,0.198536,0.244774,0.047452,0.046693,0.197322,0.198082,
o  ts_endo_1147,0.032224,0.171494,0.215272,0.048498,0.047253,0.166774,0.168019,
o  ts_endo_1148,0.093920,0.264419,0.373471,0.057617,0.055081,0.315854,0.318390,
o  ts_endo_1149,-0.007519,0.185923,0.190189,0.048718,0.047574,0.141471,0.142615,
o  ts_endo_1150,-0.020963,0.214652,0.206562,0.050655,0.049671,0.155907,0.156891,
o  ts_endo_1151,-0.091720,0.219683,0.142167,0.054428,0.052900,0.087738,0.089267,
o  ts_endo_1152,-0.019327,0.204213,0.197488,0.050218,0.049097,0.147270,0.148391,
o  ts_endo_1153,-0.021892,0.176840,0.167712,0.051625,0.050208,0.116087,0.117504,
o  ts_endo_1154,0.035849,0.270137,0.321924,0.059030,0.056734,0.262893,0.265190,
o  ts_endo_1155,0.109387,0.152455,0.272466,0.045852,0.045131,0.226615,0.227335,
o  ts_endo_1156,0.099770,0.180515,0.292443,0.049763,0.048422,0.242681,0.244021,
o  ts_endo_1157,0.026468,0.186042,0.225697,0.052544,0.050861,0.173153,0.174835,
o  ts_endo_1158,0.097651,0.170180,0.279586,0.048279,0.047359,0.231307,0.232227,
o  ts_endo_1159,0.097455,0.143412,0.252489,0.049229,0.047833,0.203261,0.204656,
o  ts_endo_1160,0.156009,0.236349,0.407410,0.057683,0.055159,0.349727,0.352251,
o  ts_endo_1161,0.046950,0.143412,0.200489,0.044994,0.044333,0.155495,0.156155,
o  ts_endo_1162,0.037199,0.171381,0.220282,0.049021,0.047743,0.171262,0.172539,
o  ts_endo_1163,-0.036156,0.177018,0.153524,0.051477,0.049987,0.102047,0.103538,
o  ts_endo_1164,0.035482,0.161149,0.207864,0.047375,0.046511,0.160489,0.161352,
o  ts_endo_1165,0.033651,0.134322,0.179104,0.048300,0.047043,0.130804,0.132061,
o  ts_endo_1166,0.093233,0.227276,0.335067,0.056789,0.054329,0.278278,0.280738,
o  ts_endo_1167,0.067893,0.142674,0.220935,0.046365,0.045600,0.174570,0.175335,
o  ts_endo_1168,0.058386,0.170560,0.240941,0.050659,0.049092,0.190282,0.191849,
o  ts_endo_1169,-0.014775,0.176266,0.174399,0.052817,0.051169,0.121582,0.123230,
o  ts_endo_1170,0.056851,0.160370,0.228740,0.048883,0.047852,0.179857,0.180887,
o  ts_endo_1171,0.054816,0.133565,0.199760,0.049645,0.048197,0.150115,0.151562,
o  ts_endo_1172,0.113957,0.226535,0.355292,0.058047,0.055382,0.297245,0.299909,
o  ts_endo_1173,-0.019378,0.145377,0.135799,0.043781,0.043226,0.092018,0.092572,
o  ts_endo_1174,-0.029790,0.173547,0.155013,0.047298,0.046407,0.107716,0.108607,
o  ts_endo_1175,-0.102638,0.178979,0.088694,0.050489,0.049012,0.038205,0.039682,
o  ts_endo_1176,-0.031674,0.163330,0.142437,0.045906,0.045135,0.096531,0.097302,
o  ts_endo_1177,-0.032200,0.136305,0.114906,0.047182,0.046031,0.067724,0.068874,
o  ts_endo_1178,0.027516,0.229279,0.271012,0.055664,0.053370,0.215348,0.217642,
o  ts_endo_1179,0.077351,0.160768,0.246923,0.041395,0.041071,0.205528,0.205852,
o  ts_endo_1180,0.068542,0.189171,0.267797,0.044278,0.043812,0.223519,0.223985,
o  ts_endo_1181,-0.005266,0.194420,0.200477,0.047993,0.046829,0.152483,0.153647,
o  ts_endo_1182,0.066601,0.178690,0.255143,0.043734,0.043175,0.211410,0.211968,
o  ts_endo_1183,0.064351,0.151683,0.225777,0.044646,0.043737,0.181131,0.182040,
o  ts_endo_1184,0.124159,0.244704,0.382087,0.053375,0.051340,0.328712,0.330747,
o  ts_endo_1185,0.064850,0.188467,0.263751,0.044799,0.044472,0.218952,0.219279,
o  ts_endo_1186,0.055887,0.216935,0.284507,0.047577,0.047098,0.236930,0.237409,
o  ts_endo_1187,-0.018163,0.222075,0.216961,0.051681,0.050356,0.165281,0.166605,
o  ts_endo_1188,0.054369,0.206322,0.272218,0.047259,0.046651,0.224959,0.225566,
o  ts_endo_1189,0.051063,0.179300,0.241779,0.048131,0.047159,0.193648,0.194620,
o  ts_endo_1190,0.112904,0.272140,0.400095,0.057450,0.055011,0.342645,0.345083,
o  ts_endo_1191,0.014849,0.193869,0.220261,0.047826,0.047112,0.172435,0.173149,
o  ts_endo_1192,0.004518,0.222147,0.239600,0.051192,0.050007,0.188408,0.189593,
o  ts_endo_1193,-0.070940,0.227529,0.170583,0.053930,0.052507,0.116653,0.118077,
o  ts_endo_1194,0.004583,0.211416,0.228825,0.050909,0.049675,0.177916,0.179149,
o  ts_endo_1195,-0.002063,0.184539,0.195116,0.051375,0.050029,0.143740,0.145087,
o  ts_endo_1196,0.060138,0.277895,0.353849,0.058652,0.056562,0.295197,0.297287,
o  ts_endo_1197,0.130043,0.160397,0.301008,0.045912,0.045230,0.255096,0.255778,
o  ts_endo_1198,0.119171,0.188554,0.319742,0.049389,0.048312,0.270353,0.271430,
o  ts_endo_1199,0.046216,0.194112,0.253365,0.052288,0.050704,0.201077,0.202660,
o  ts_endo_1200,0.117936,0.178028,0.307719,0.048529,0.047539,0.259191,0.260180,
o  ts_endo_1201,0.116660,0.151440,0.279587,0.049109,0.047722,0.230477,0.231865,
o  ts_endo_1202,0.175473,0.244405,0.434786,0.057459,0.054989,0.377327,0.379797,
o  ts_endo_1203,0.068306,0.151488,0.229829,0.044855,0.044293,0.184974,0.185535,
o  ts_endo_1204,0.057579,0.179616,0.248704,0.048433,0.047431,0.200271,0.201273,
o  ts_endo_1205,-0.015749,0.185187,0.181953,0.051226,0.049774,0.130727,0.132180,
o  ts_endo_1206,0.056536,0.169140,0.236864,0.047367,0.046521,0.189498,0.190343,
o  ts_endo_1207,0.053532,0.142469,0.206988,0.048091,0.046830,0.158897,0.160158,
o  ts_endo_1208,0.113677,0.235444,0.363531,0.056526,0.054099,0.307005,0.309432,
o  ts_endo_1209,0.087925,0.150823,0.249024,0.046160,0.045504,0.202864,0.203520,
o  ts_endo_1210,0.077476,0.178844,0.268136,0.050001,0.048744,0.218135,0.219392,
o  ts_endo_1211,0.004347,0.184475,0.201601,0.052570,0.050966,0.149031,0.150635,
o  ts_endo_1212,0.076436,0.168459,0.256355,0.048791,0.047764,0.207564,0.208591,
o  ts_endo_1213,0.073578,0.141751,0.226582,0.049448,0.048012,0.177133,0.178570,
o  ts_endo_1214,0.133263,0.234731,0.382673,0.057851,0.055200,0.324823,0.327473,
