   GoodVibes v3.0.1 2023/07/27 15:12:34
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dft_non_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_1534,-425.242396,0.179779,-425.051063,0.047189,0.046599,-425.098252,-425.097661,
o  ts_1535,-500.457608,0.185117,-500.260149,0.049051,0.048405,-500.309200,-500.308554,
o  ts_1536,-478.164378,0.151795,-478.000899,0.048116,0.047328,-478.049015,-478.048227,
o  ts_1537,-845.532009,0.143654,-845.377297,0.046832,0.046177,-845.424129,-845.423474,
o  ts_1538,-2959.536091,0.143126,-2959.381672,0.048118,0.047365,-2959.429790,-2959.429036,
o  ts_1539,-485.172250,0.145252,-485.016368,0.045363,0.044841,-485.061730,-485.061208,
o  ts_1540,-326.757981,0.137549,-326.611867,0.039867,0.039782,-326.651734,-326.651649,
o  ts_1541,-366.079509,0.164180,-365.904896,0.043840,0.043664,-365.948736,-365.948560,
o  ts_1542,-441.298213,0.170307,-441.117085,0.044890,0.044713,-441.161975,-441.161798,
o  ts_1544,-786.374174,0.128379,-786.236025,0.043078,0.042950,-786.279103,-786.278976,
o  ts_1545,-2900.378247,0.127686,-2900.240500,0.044550,0.044346,-2900.285049,-2900.284846,
o  ts_1546,-426.015153,0.129716,-425.876029,0.041828,0.041729,-425.917857,-425.917758,
o  ts_1547,-730.999593,0.112088,-730.879292,0.040183,0.040016,-730.919475,-730.919308,
o  ts_1548,-770.321842,0.139329,-770.172693,0.043542,0.043272,-770.216235,-770.215966,
o  ts_1549,-845.538289,0.144485,-845.383093,0.045756,0.045362,-845.428849,-845.428455,
o  ts_1550,-823.243159,0.111048,-823.122132,0.044513,0.044088,-823.166645,-823.166219,
o  ts_1551,-1190.611228,0.103062,-1190.498808,0.043256,0.042962,-1190.542064,-1190.541770,
o  ts_1552,-3304.614974,0.102485,-3304.502872,0.044618,0.044207,-3304.547490,-3304.547080,
o  ts_1553,-830.253980,0.104364,-830.140594,0.042143,0.041866,-830.182737,-830.182460,
o  ts_1554,-502.456645,0.200630,-502.244211,0.049677,0.047970,-502.293887,-502.292181,
o  ts_1555,-541.781342,0.227794,-541.540114,0.052679,0.050997,-541.592792,-541.591111,
o  ts_1557,-594.703998,0.199511,-594.490864,0.054142,0.051955,-594.545005,-594.542818,
o  ts_1558,-962.070591,0.191635,-961.866011,0.052315,0.050509,-961.918326,-961.916519,
o  ts_1559,-3076.074903,0.191037,-3075.870666,0.053521,0.051591,-3075.924187,-3075.922257,
o  ts_1560,-601.711723,0.192901,-601.506190,0.051676,0.049719,-601.557866,-601.555909,
o  ts_1561,-307.314253,0.097577,-307.209995,0.035659,0.035665,-307.245654,-307.245660,
o  ts_1562,-346.638703,0.124481,-346.505879,0.039298,0.039288,-346.545177,-346.545168,
o  ts_1563,-421.852526,0.129337,-421.713852,0.041877,0.041792,-421.755730,-421.755644,
o  ts_1564,-399.551436,0.096146,-399.446867,0.040086,0.040030,-399.486952,-399.486896,
o  ts_1565,-766.923003,0.088144,-766.827045,0.038930,0.038926,-766.865975,-766.865972,
